City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,machali,-34.1833,-70.6667,17.53,46,0,0.95,CL,1682380637
315,mariehamn,60.0973,19.9348,1.92,93,100,3.6,AX,1682380637
316,arno,60.1167,18.6333,0.44,87,100,4.28,SE,1682380638
317,nadym,65.5333,72.5167,-5.39,82,97,9.4,RU,1682380638
318,rumphi,-11.0186,33.8575,17.37,95,5,1.53,MW,1682380639
319,santa eularia des riu,38.9846,1.5341,17.23,92,75,0.0,ES,1682380639
320,sechura,-5.5569,-80.8222,28.01,62,100,4.53,PE,1682380640
321,kone,-21.0595,164.8658,28.45,61,73,2.68,NC,1682380640
322,al jawf,29.5,38.75,19.38,29,0,5.58,SA,1682380641
323,istaravshan,39.9142,69.0033,13.78,49,65,1.92,TJ,1682380641
324,dibba al-hisn,25.6196,56.2729,22.1,55,75,2.09,AE,1682380642
325,kalmunai,7.4167,81.8167,26.43,86,68,2.4,LK,1682380643
326,kokshetau,53.2775,69.3883,8.5,56,82,3.62,KZ,1682380643
327,imbituba,-28.24,-48.6703,20.06,88,4,4.2,BR,1682380644
328,prince george,53.9166,-122.753,12.57,42,100,5.66,CA,1682380512
329,alesund,62.4723,6.1549,3.28,76,75,8.23,NO,1682380645
330,altamira,-3.2033,-52.2064,23.11,97,100,1.18,BR,1682380645
331,oyem,1.5995,11.5793,20.54,99,94,1.51,GA,1682380646
332,la palma,33.8464,-118.0467,26.06,68,20,5.14,US,1682380646
333,newman,37.3138,-121.0208,28.36,29,44,4.47,US,1682380647
334,plottier,-38.9667,-68.2333,22.95,43,0,2.57,AR,1682380648
335,smithers,54.7804,-127.1743,12.18,35,40,3.09,CA,1682380648
336,puerto deseado,-47.7503,-65.8938,18.34,24,38,11.15,AR,1682380649
337,san patricio,28.017,-97.5169,22.97,78,54,4.73,US,1682380649
338,sabang,5.8933,95.3214,28.93,75,100,4.82,ID,1682380650
339,keetmanshoop,-26.5833,18.1333,16.51,77,0,3.6,NA,1682380650
340,mogadishu,2.0371,45.3438,27.82,76,98,4.48,SO,1682380651
341,sullivan,36.5168,-82.5332,15.43,23,20,2.06,US,1682380651
342,kangding,30.0513,101.9603,6.26,92,100,0.86,CN,1682380652
343,wenchang,30.904,118.4887,11.52,90,100,0.97,CN,1682380652
344,lamar,33.6668,-95.5836,18.95,44,100,5.66,US,1682380653
345,klyuchi,52.2667,79.1667,2.69,58,38,3.02,RU,1682380654
346,sosnovka,56.255,51.2842,9.48,64,1,2.39,RU,1682380654
347,tofol,5.3248,163.0078,27.88,83,100,4.12,FM,1682380655
348,chukhloma,58.7525,42.6825,10.82,64,50,2.19,RU,1682380655
349,gadzhiyevo,69.2551,33.3362,-8.41,88,13,4.93,RU,1682380656
350,new norfolk,-42.7826,147.0587,14.72,64,100,2.08,AU,1682380657
351,amursk,50.2261,136.8994,5.67,41,17,5.97,RU,1682380657
352,quellon,-43.1167,-73.6167,12.14,87,100,6.17,CL,1682380407
